City,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph),Lat,Long
Jamestown,35.6,55,1,10.29,42.1,-79.24
Hilo,71.6,78,90,5.82,19.73,-155.09
Agbor,99.61,26,13,3.09,6.25,6.19
Bluff,54,95,73,3,-46.6,168.33
Coahuayana Viejo,71.6,88,75,2.06,18.73,-103.68
Whitehorse,-4,83,20,2.24,60.72,-135.05
Upernavik,-18.81,70,0,4.47,72.79,-56.15
Bredasdorp,68,64,100,16.11,-34.53,20.04
Port Alfred,64.99,98,80,20.11,-33.59,26.89
Butaritari,84.15,75,0,17.92,3.07,172.79
Srednekolymsk,-15.39,97,97,8.52,67.45,153.68
Letterkenny,48.2,70,40,21.92,54.95,-7.73
Santiago de Cao,71.6,88,90,8.05,-7.96,-79.24
San Quintín,57.87,77,12,4.72,30.48,-115.95
East London,68,94,75,14.99,-33.02,27.91
Tiksi,-2.97,87,99,14.74,71.69,128.87
Busselton,68,66,8,8.19,-33.65,115.33
Olafsvik,32.67,93,100,19.44,64.89,-23.71
Norman Wells,19.4,85,90,14.99,65.28,-126.83
Castro,80.91,57,1,6.38,-24.79,-50.01
Tongliao,19.35,23,0,4.43,43.61,122.27
Lagoa,57.69,70,0,4.47,39.05,-27.98
Ternate,72.45,90,0,3.83,0.8,127.4
Mar del Plata,66.2,63,75,13.87,-38,-57.56
Departamento de Maldonado,68,72,90,11.41,-34.67,-54.92
Mali,98.19,9,70,6.55,12.08,-12.3
Hong Kong,69.01,72,20,11.41,22.29,114.16
Belgrade,53.01,70,33,11.41,44.8,20.47
Ancud,59,77,0,13.87,-41.87,-73.82
Imeni Poliny Osipenko,1.51,83,2,1.68,52.42,136.49
Yeppoon,75.2,69,40,6.93,-23.13,150.73
Nikolskoye,39.2,38,29,13.42,59.7,30.79
Port Elizabeth,68,77,75,11.41,-33.92,25.57
Lishui,49.21,61,92,1.43,28.46,119.91
Semypolky,37.99,32,12,17.9,50.72,30.93
Villamontes,82.51,71,100,3.87,-21.25,-63.5
Pevek,9.27,85,91,15.95,69.7,170.31
Cidreira,77.85,76,97,9.51,-30.18,-50.21
Thompson,-11.2,76,20,7.92,55.74,-97.86
New Norfolk,55.4,58,90,4.7,-42.78,147.06
Tasiilaq,8.6,46,100,16.11,65.61,-37.64
San Patricio,73.4,78,5,6.93,19.22,-104.7
Emba,31.21,90,100,6.58,48.83,58.14
Airai,66.31,84,100,2.55,-8.93,125.41
Mackenzie,-11.2,76,1,2.24,55.3,-123.17
Tyup,30.31,47,0,7.72,42.73,78.36
Katsuura,51.8,57,75,6.93,35.13,140.3
Arraial do Cabo,87.8,58,20,17.22,-22.97,-42.03
La Seyne-sur-Mer,63,44,0,13.87,43.1,5.88
Preston,51.01,87,40,16.11,53.77,-2.72
Vypolzovo,28.71,50,0,5.88,57.88,33.7
Springbok,85.21,13,0,13.94,-29.66,17.89
Mahébourg,80.6,78,75,5.82,-20.41,57.7
Ekibastuz,37.89,83,100,16.71,51.67,75.37
Jacareacanga,76.21,91,100,3.65,-6.22,-57.75
Borogontsy,-1.17,95,93,7.09,62.67,131.17
Isiro,84.31,57,81,3.71,2.77,27.62
Dikson,-5.85,98,100,4.47,73.51,80.55
Hegra,50,53,40,2.24,63.46,11.11
Elbistan,46.35,87,100,8.61,38.21,37.2
Aksu,48.15,24,74,4.27,41.12,80.26
Te Anau,51.01,79,67,9.86,-45.42,167.72
Nouadhibou,75.2,53,0,18.34,20.93,-17.03
Beaverlodge,-18.4,75,20,4.7,55.22,-119.44
Saint George,51.01,66,90,16.11,37.1,-113.58
Harper,83.07,76,100,7.18,4.38,-7.72
Jumla,30.87,82,22,3.58,29.27,82.18
Korla,35.55,33,83,2.98,41.76,86.15
Lamar,51.01,93,90,14.99,33.67,-95.58
Kapaa,69.8,83,90,4.7,22.08,-159.32
Kavieng,85.05,67,100,5.17,-2.57,150.8
Ostrovnoy,22.21,82,100,33.42,68.05,39.51
Vila Franca do Campo,62.6,67,40,8.05,37.72,-25.43
Inhambane,87.8,55,40,4.7,-23.86,35.38
Nanortalik,24.57,68,100,14.34,60.14,-45.24
Flin Flon,-5.8,76,75,3.36,54.77,-101.86
Basoko,81.45,66,100,2.82,1.24,23.62
Ōdachō-ōda,35.19,84,64,10.8,35.18,132.5
Muskogee,46.99,93,90,9.17,35.58,-95.33
Torbay,33.01,57,1,11.99,47.67,-52.73
Codrington,59.31,77,0,13.85,-38.27,141.97
George Town,87.8,89,40,3.2,5.41,100.34
Arlington Heights,35.01,74,90,6.93,42.09,-87.98
Peterhead,48,87,40,17.22,57.51,-1.8
Kulhudhuffushi,83.79,74,0,6.46,6.62,73.07
Cabedelo,86,70,75,9.17,-6.98,-34.83
Lakatoro,84.69,79,100,21.9,-16.1,167.42
Grants,30.2,92,1,9.17,35.15,-107.85
Pangnirtung,-26.55,86,65,2.17,66.15,-65.71
Bukama,81.99,83,31,3.38,-9.2,25.85
Toppenish,30.99,54,90,24.16,46.38,-120.31
Saint Paul Harbor,19.4,79,1,5.82,57.79,-152.41
Ketchikan,37.4,69,1,12.75,55.34,-131.65
Avarua,75.2,100,54,2.24,-21.21,-159.78
Eureka,39.99,93,90,4.7,40.8,-124.16
Tuktoyaktuk,1.4,77,90,26.4,69.45,-133.04
Quatre Cocos,80.6,78,75,5.82,-20.21,57.76
Vila Velha,84.2,70,75,6.93,-20.33,-40.29
Kiama,62.01,82,75,10.29,-34.68,150.87
Nha Trang,80.6,94,20,11.41,12.25,109.18
Nagato,50,43,75,27.51,34.38,131.2
Albany,37.99,43,40,10.29,42.6,-73.97
Mbini,85.05,72,94,8.9,1.57,9.61
Atuona,81.27,69,11,9.64,-9.8,-139.03
Deesa,79.29,17,74,11.88,24.25,72.17
La Santisima Trinidad,84.2,83,75,6.93,-14.83,-64.9
Sovetskaya Gavan',20.07,69,47,14.99,48.97,140.29
Old Saybrook,44.6,48,20,8.05,41.29,-72.38
Leh,15.39,49,0,2.8,34.17,77.58
Southend-on-Sea,54,76,75,21.92,51.54,0.71
Guerrero Negro,59.49,75,0,12.75,27.98,-114.06
Yellowknife,19,92,75,14.99,62.46,-114.35
Mâncio Lima,86,79,40,5.82,-7.61,-72.9
Hasaki,37.4,93,20,3.36,35.73,140.83
Rimbey,-25.6,74,20,5.82,52.63,-114.24
Kalangala,77.31,64,99,7.54,-0.31,32.23
Aksarka,-0.63,80,100,3.27,66.56,67.8
Yar-Sale,-1.53,80,100,4.16,66.83,70.83
Ponta do Sol,66.2,52,40,19.46,32.67,-17.1
Hambantota,86,70,20,3.36,6.12,81.12
Alofi,77,94,100,2.24,-19.06,-169.92
Thinadhoo,84.51,56,3,1.77,0.53,72.93
Newport News,50,81,90,13.87,36.98,-76.43
Hue,75.2,94,75,4.7,16.47,107.6
Bethel,45,51,90,10.29,41.37,-73.41
Talaya,-15.03,97,0,4.52,61.38,152.75
Aykhal,24.8,79,100,6.71,66,111.5
Channel-Port aux Basques,29.61,78,21,23.22,47.57,-59.14
Ratangarh,69.75,36,100,4.68,28.08,74.6
Bambous Virieux,80.6,78,75,5.82,-20.34,57.76
Tain,46.99,75,75,13.87,57.81,-4.06
Grand Gaube,80.6,78,75,5.82,-20.01,57.66
Saldanha,77,47,68,24.16,-33.01,17.94
Khatanga,-5.85,92,100,12.12,71.97,102.5
Arrondissement de Bergerac,66.99,45,19,13.87,44.83,0.5
Acaraú,84.69,76,55,6.8,-2.89,-40.12
Metković,62.6,25,20,17.22,43.05,17.65
Lima,75.2,78,40,5.82,-12.04,-77.03
Tevaitoa,82.35,78,8,14.27,-16.78,-151.5
Durazno,67.95,67,100,7.45,-33.41,-56.5
Mehamn,24.21,66,95,25.48,71.04,27.85
Yumen,38.61,20,100,9.82,40.28,97.2
Danané,85.77,51,83,1.9,7.26,-8.15
Kourou,86,62,75,10.29,5.16,-52.65
Hermanus,71.01,82,10,10,-34.42,19.23
Vyartsilya,33.21,67,78,11.18,62.18,30.69
Dudinka,-13,75,11,11.18,69.41,86.18
Carnarvon,78.8,78,0,10.29,-24.87,113.63
Saint-Pierre,80.6,74,100,20.8,-21.34,55.48
Marabu,78.01,94,75,3.36,4.41,114.01
Laas,51.8,57,75,2.24,46.62,10.7
Minden,59,47,99,14.99,52.28,8.92
Ginir,69.91,64,75,6.82,7.13,40.7
La Unión,84.51,50,14,4.56,-5.4,-80.75
Salisbury,52,93,100,10.29,51.07,-1.8
Plettenberg Bay,62.01,91,100,2.19,-34.05,23.37
Missão Velha,82.4,69,75,6.93,-7.25,-39.14
Esperance,68,82,23,1.12,-33.87,121.9
Iglesias,66.2,67,0,10.29,39.31,8.54
Faanui,82.51,77,7,13.38,-16.48,-151.75
Samarai,75.87,84,98,3.96,-10.62,150.67
Viedma,72.45,20,0,4.68,-40.81,-63
Rialma,80.19,76,53,8.52,-15.31,-49.58
Forsytheganj,35.01,43,0,12.03,52.63,29.73
Kholodnyy,-8.55,99,100,5.08,62.72,147.95
Beringovskiy,20.97,92,0,11.32,63.05,179.32
Honiara,77,94,90,3.2,-9.43,159.95
Nova Olímpia,88.29,61,54,3.91,-14.8,-57.29
Medowie,63,93,75,8.05,-32.73,151.87
Magaria,93.31,6,7,11.72,13,8.91
Richards Bay,80.01,86,37,15.64,-28.78,32.04
Zaysan,25.65,76,0,1.05,47.47,84.87
Carutapera,75.51,93,100,20.47,-1.2,-46.02
Aswān,82.4,28,0,4.7,24.09,32.91
Lebu,65.79,39,0,7.94,-37.62,-73.65
Dalvik,28.4,74,75,44.96,65.97,-18.53
Uíge,86,55,75,6.93,-7.61,15.06
Jalu,81.99,12,0,5.7,29.03,21.55
Ambam,90.99,35,73,2.93,2.38,11.28
Bathsheba,82.4,65,75,13.87,13.22,-59.52
Spoleto,64.99,29,0,3.36,42.74,12.74
Duvergé,84.2,74,20,6.93,18.38,-71.52
Port Blair,82.89,75,32,9.69,11.67,92.75
North Adams,41,37,1,10.29,42.7,-73.11
Kruisfontein,62.91,85,100,9.48,-34,24.73
Tuensang,58.77,87,29,3.58,26.28,94.83
Flinders,62.01,82,75,10.29,-34.58,150.86
Zhigansk,-0.99,95,100,26.46,66.77,123.37
Imatra,37.99,64,20,18.34,61.17,28.75
Shache,51.01,17,0,7.85,38.42,77.24
Sept-Îles,17.6,57,90,3.36,50.2,-66.38
Mount Isa,80.6,34,0,12.75,-20.73,139.5
Mount Gambier,46.4,93,0,6.93,-37.83,140.77
Avera,64.4,77,75,6.93,33.19,-82.53
Chișinău,41,25,0,17.22,47.01,28.86
Barrow,-9.4,76,1,5.82,71.29,-156.79
De Aar,82.17,19,27,11.65,-30.65,24.01
Clyde River,-23.8,74,20,3.36,70.47,-68.59
Praia,78.8,57,20,23.04,14.92,-23.51
Tura,68.31,67,58,2.24,25.52,90.22
Boyolangu,75.15,89,69,2.21,-8.12,111.89
Macenta,100.17,19,100,2.08,8.54,-9.47
Praia da Vitória,60.8,77,75,6.4,38.73,-27.07
Guarujá,84.2,58,0,13.87,-23.99,-46.26
Ndélé,102.51,11,28,3.11,8.41,20.65
Touros,86,70,75,10.29,-5.2,-35.46
College,24.01,85,90,0.74,64.86,-147.8
Saint-Philippe,80.6,74,100,20.8,-21.36,55.77
Maniitsoq,3.31,58,0,11.45,65.42,-52.9
Nakusp,-7.47,96,5,3.87,50.25,-117.8
Talant,62.6,55,20,21.92,47.34,5.01
Lakes Entrance,50,89,42,7,-37.88,147.98
Saskylakh,19.17,90,100,7.18,71.92,114.08
Pimampiro,59,67,20,2.89,0.4,-77.97
Berlevåg,29.07,62,98,33.46,70.86,29.09
Cockburn Town,75.51,76,0,19.17,21.46,-71.14
Charagua,86,51,15,7.25,-19.8,-63.22
Iqaluit,-20,68,75,6.35,63.75,-68.51
Chapais,-0.4,70,1,10.29,49.78,-74.85
Malanje,82.4,83,75,9.17,-9.54,16.34
Uglovoye,41.85,47,100,20.92,44.82,33.6
Moranbah,71.01,53,0,9.71,-22,148.05
Emet,49.95,77,98,12.86,39.34,29.26
Māndalgarh,67.95,23,90,5.77,25.2,75.1
Tuatapere,54,95,89,3,-46.13,167.68
Buin,73.4,38,0,2.24,-33.73,-70.75
Noyabrsk,8.37,94,53,6.11,63.2,75.45
Alta Floresta,82.4,78,75,3.36,-9.88,-56.09
Paita,62.6,100,56,13.87,-5.09,-81.11
Port Lincoln,62.71,78,47,12.64,-34.73,135.87
Salalah,78.8,57,40,11.41,17.02,54.09
Straumen,50,53,40,2.24,63.87,11.3
Nadym,-0.99,90,100,8.68,65.53,72.52
Oranjestad,84.2,66,40,13.87,12.52,-70.03
Ibrā’,75.31,30,100,16.6,22.69,58.53
Naliya,76.77,20,100,8.97,23.27,68.83
Awjilah,81.99,12,0,5.7,29.11,21.29
Majene,76.59,88,100,4.52,-3.54,118.97
Antofagasta,72,68,20,5.82,-23.65,-70.4
Boulder,37,54,90,3.71,40.08,-105.35
Luís Correia,79.29,93,95,2.71,-2.88,-41.67
Port Pirie,62.6,77,2,4.7,-33.18,138.02
Senneterre,3.2,77,40,8.05,48.38,-77.23
Abramovka,28.51,51,100,15.39,51.19,41.02
Kysyl-Syr,3.15,94,100,12.35,63.9,122.76
Pulandian,32,27,0,6.71,39.4,121.97
Kahului,69.8,88,1,4.7,20.89,-156.47
Lichuan,46.35,80,98,4.5,30.3,108.85
Cap Malheureux,80.6,78,75,5.82,-19.98,57.61
Talara,62.6,100,67,13.87,-4.58,-81.27
Tautira,78.8,78,0,4.7,-17.73,-149.15
Ambāgarh Chauki,80.91,33,100,3.38,20.78,80.72
Coyhaique,57.2,71,40,6.93,-45.58,-72.07
Baruun-Urt,28.71,70,67,15.79,46.68,113.28
Nova Prata,90,23,21,3.24,-28.78,-51.61
Severo-Kuril'sk,31.95,98,100,22.46,50.68,156.12
Orlik,19.51,85,100,7.96,52.52,99.83
Taltal,66.51,69,5,6.69,-25.4,-70.48
Narsaq,28.4,28,75,12.75,60.92,-46.05
Ilulissat,-7.6,52,20,1.12,69.22,-51.1
Anloga,91.4,63,20,12.75,5.79,0.9
Semey,35.6,80,93,11.18,50.41,80.23
Storm Lake,27,100,90,10.29,42.64,-95.21
Jerome,41,100,90,20.8,42.72,-114.52
Noumea,78.8,88,98,21.92,-22.28,166.46
Lompoc,53.6,87,90,4.7,34.64,-120.46
Kavaratti,83.25,67,0,5.39,10.57,72.64
Khor,7.47,95,67,7.31,47.89,134.95
Havelock,51.8,87,90,12.75,34.88,-76.9
Lambaréné,83.79,85,86,4.61,-0.7,10.24
Chalchuapa,77,53,0,2.24,13.99,-89.68
Omsukchan,-2.79,98,100,4.68,62.53,155.8
Provideniya,24.75,97,100,3.38,64.38,-173.3
Norheimsund,46.99,87,75,20.8,60.37,6.15
Bubaque,82.89,41,100,9.95,11.28,-15.83
Barentu,88.47,16,34,14.38,15.11,37.59
Pampas,52.81,61,100,4.7,-12.4,-74.9
Wanaka,42.57,94,67,7.58,-44.7,169.15
Lieto,39.2,69,89,18.34,60.51,22.46
Sobolevo,30.69,41,0,12.66,54.43,31.9
Sinop Province,43.29,88,100,18.97,41.77,34.87
Darhan,24.57,77,0,8.23,49.49,105.92
São Filipe,74.41,62,0,23.33,14.9,-24.5
Gaza,70,64,20,9.17,31.5,34.47
Taitung City,42.75,94,22,1.03,22.76,121.14
Peto,81.99,63,50,5.14,20.13,-88.92
Hofn,28.4,68,20,4.7,64.25,-15.21
Kumul,41.11,27,26,3.13,42.8,93.45
Waingapu,84.69,75,76,7.96,-9.66,120.26
Peniche,64.99,55,20,13.87,39.36,-9.38
Berdigestyakh,-0.99,97,85,5.48,62.1,126.7
Araouane,97.47,5,0,3.18,18.9,-3.53
Phichit,82.4,74,40,4.7,16.25,100.42
Kayerkan,-13,75,56,11.18,69.35,87.76
Constitución,68.49,38,0,7.92,-35.33,-72.42
Riyadh,80.6,26,0,9.17,24.69,46.72
Nome,26.55,97,100,6.53,64.5,-165.41
Shakawe,86.11,44,95,3.27,-18.37,21.85
Fortuna,39.99,93,90,5.37,40.6,-124.16
Basco,69.91,72,83,20.04,20.45,121.97
Altus,44.6,87,90,17.22,34.64,-99.33
Ubari,84.31,6,0,9.69,26.59,12.78
Svetlaya,24.75,75,83,7.61,46.54,138.33
San Miguel de Cozumel,81,78,20,8.05,20.51,-86.95
Laguna,50,87,90,8.05,38.42,-121.42
St. George's,77,88,75,2.24,12.06,-61.75
Caravelas,80.55,80,100,8.84,-17.71,-39.25
Husavik,28.4,74,75,44.96,66.04,-17.34
Solnechnyy,6.21,88,66,4.41,50.72,136.63
Hamilton,36,80,90,10.29,39.18,-84.53
Bandarbeyla,79.81,76,0,14.92,9.49,50.81
Ostrów Mazowiecka,46,50,0,8.79,52.8,21.9
Chokurdakh,-22.23,71,0,3.74,70.63,147.92
Geraldton,72,78,40,6.93,-28.77,114.6
Horki,33.8,55,0,20.13,54.29,30.98
Weymouth,44.01,27,20,8.05,42.22,-70.94
Jinchang,33.39,51,100,6.71,38.5,102.17
Marsá Maţrūḩ,64.4,77,0,11.41,31.35,27.25
Vallenar,72.61,56,0,8.25,-28.57,-70.76
Tucuruí,80.55,86,100,4.25,-3.77,-49.67
Balabac,79.65,79,50,9.75,7.99,117.06
Tateyama,51.8,57,75,6.93,34.98,139.87
San Lorenzo,93.2,34,75,9.17,-25.33,-57.53
Ishigaki,64.35,54,0,13.31,24.34,124.16
Byron Bay,71.6,64,75,19.46,-28.65,153.62
Mubende,76.95,61,100,2.17,0.56,31.39
Tindivanam,77.67,76,0,7.99,12.25,79.65
Mirny,30.2,63,100,8.95,62.54,113.96
Roald,43,87,75,21.92,62.58,6.13
Tadine,81.09,83,87,30.49,-21.55,167.88
Grindavik,35.6,69,75,20.8,63.84,-22.43
Esim,90.81,57,100,8.55,4.87,-2.24
Abū Zabad,92.07,10,77,11.83,12.35,29.25
Wuchi,37.71,94,100,2.98,29.38,103.02
Umm Kaddadah,90.61,10,28,10.29,13.6,26.69
Luena,79.11,62,44,1.34,-11.78,19.92
Aktash,18.81,74,99,6.38,50.3,87.73
Uhingen,59,33,2,5.82,48.7,9.59
Sambava,77.85,83,100,2.08,-14.27,50.17
Mareeba,73.4,83,48,1.95,-17,145.43
Verkhnevilyuysk,26.71,96,100,5.19,63.45,120.32
Saint-Junien,66,39,31,12.75,45.88,0.9
Saint Andrews,64.99,72,75,3.36,34.05,-81.13
Ambon City,78.8,88,20,4.7,-3.7,128.18
Half Moon Bay,50,76,90,17.22,37.46,-122.43
Kirgiz-Miyaki,31.21,96,100,5.68,53.63,54.8
Yaan,105.01,7,16,4.07,7.38,8.57
Pinega,21.15,82,35,10.56,64.7,43.39
Vardø,26.6,68,20,23.04,70.37,31.11
Hayden,21.2,61,20,21.92,47.77,-116.79
Karratha,84.87,76,14,16.22,-20.74,116.85
Rawson,66.15,48,0,7.72,-43.3,-65.1
Glarus,62.01,50,11,4.7,47.04,9.07
Taoudenni,97.11,3,0,14.47,22.68,-3.98
Padang,69.75,94,44,5.12,-0.95,100.35
Manga,103.95,16,100,6.53,11.66,-1.07
Paramonga,73.35,85,84,10.29,-10.67,-77.83
Shawville,23,55,4,4,45.6,-76.48
Vytegra,27.09,66,0,5.61,61.01,36.45
Joshīmath,31.21,69,65,6.85,30.57,79.57
Glendive,28,92,90,10.29,47.11,-104.71
Benalla,57.99,81,0,4.7,-36.55,145.98
Cabo San Lucas,66.99,87,40,8.3,22.89,-109.91
Aguadilla,82,64,40,19.46,18.43,-67.15
Lubango,71.37,72,56,8.81,-14.92,13.49
Lata,64.99,55,20,10.29,40.16,-8.33
Bend,21.2,92,90,9.17,44.06,-121.32
São João da Barra,86,58,20,10.29,-21.64,-41.05
Leningradskiy,13.77,65,97,9.04,69.38,178.42
Ligayan,81.81,79,23,14.76,4.65,119.47
Atikokan,17.71,76,99,4.09,48.76,-91.62
Gönen,48.2,76,75,23.04,40.1,27.65
Sakakah,69.8,35,75,6.93,29.97,40.21
Gilgit,17.37,54,0,4.54,35.92,74.31
Atherton,51.01,75,75,12.75,53.52,-2.49
Nishihara,62.6,51,40,13.87,26.18,127.76
Del Rio,71.6,78,75,12.75,29.36,-100.9
Marovoay,87.8,70,20,8.05,-16.1,46.63
Kloulklubed,77,88,75,3.36,7.04,134.26
Pirkkala,39.2,60,100,23.04,61.46,23.63
Thunder Bay,21.99,84,75,2.24,48.4,-89.32
Druzhba,31.95,44,100,17.58,52.04,33.95
Humberto de Campos,78.01,88,100,3.91,-2.6,-43.46
Anaconda,10.4,72,90,3.36,46.13,-112.94
Luján,66.99,77,100,5.82,-34.57,-59.1
Abu Samrah,65.61,65,17,8.25,35.3,37.18
Pendleton,30,85,90,5.82,45.67,-118.79
Aripuanã,74.97,95,100,1.95,-9.17,-60.63
Dingle,72.99,74,37,8.37,11,122.67
Cossato,59,62,75,4.7,45.57,8.18
Piranhas,85.21,60,34,2.48,-16.43,-51.82
Itaituba,80.6,83,75,5.82,-4.28,-55.98
Pecos,59,87,90,17.22,31.42,-103.49
Manicoré,78.8,83,75,4.7,-5.81,-61.3
Matara,78.57,86,0,4,5.95,80.54
Pyapon,77.67,61,100,7.38,16.28,95.68
Poum,82.89,79,100,28.61,-20.23,164.02
Gornopravdinsk,31.41,96,100,6.98,60.05,69.9
Portland,35.01,59,40,19.46,45.52,-122.68
Tarata,69.8,46,75,4.7,-17.62,-66.02
Alice Springs,71.6,28,0,5.82,-23.7,133.88
Pochutla,81,74,40,1.95,15.74,-96.47
Barra Patuca,79.81,77,30,10.89,15.8,-84.28
Effium,102.69,8,53,3.94,6.63,8.06
Ol'ga,29.41,55,0,17.83,43.74,135.29
Contai,80.19,54,33,3.62,21.78,87.75
Mt. Pleasant,70,83,1,6.93,32.79,-79.86
Puerto Escondido,77,73,5,2.93,15.85,-97.07
Vestmannaeyjar,35.6,64,75,17.22,63.44,-20.27
Lüderitz,65.07,83,0,30.8,-26.65,15.16
Kasongo-Lunda,83.61,64,100,2.91,-6.47,16.82
Vao,83.61,75,16,47.62,-22.67,167.48
Takoradze,90.81,57,100,8.55,4.88,-1.76
Canutama,86.49,67,97,3.69,-6.53,-64.38
Adrar,89.55,6,0,8.41,20.5,-10.07
Formosa,86,62,6,16.11,-26.18,-58.18
Kununurra,75.2,78,0,6.42,-15.77,128.73
Kulachi,70.29,42,23,7.23,31.93,70.46
Zhangjiakou,35.37,51,0,3.47,40.81,114.88
Pangody,-0.99,90,100,7.25,65.85,74.49
Beloha,78.39,71,35,16.55,-25.17,45.05
Hervey Bay,71.6,64,40,10.29,-25.3,152.85
Vawkavysk,39.2,38,0,8.95,53.16,24.45
Skibbereen,46.4,65,40,16.11,51.55,-9.27
Fare,82.17,77,9,13.65,-16.7,-151.02
Pacific Grove,52,81,90,5.82,36.62,-121.92
Kansanshi,71.01,90,100,2.82,-12.1,26.43
Mabaruma,80.91,73,100,1.21,8.2,-59.78
Pisco,73.99,30,20,3.36,-13.7,-76.22
Batagay-Alyta,-19.71,90,0,5.99,67.8,130.41
Bitung,75.2,94,20,1.12,1.45,125.18
San Ignacio,78.01,100,90,6.93,17.16,-89.07
Gagra,48.2,93,90,2.24,43.33,40.22
Isangel,82.71,82,100,29.84,-19.55,169.27
Assiniboia,19.51,85,100,5.14,49.63,-105.98
Lisala,72.61,98,86,6.55,2.15,21.52
Ladário,93.2,59,20,4.7,-19,-57.6
Ankang,55.71,40,72,2.98,32.68,109.02
High Level,3.2,59,90,3.36,58.52,-117.14
Dukat,-4.41,99,100,3.36,62.55,155.55
Bobcaygeon,30,42,1,8.05,44.55,-78.54
Kinablangan,70.47,90,9,5.84,7.69,126.55
Mumford,93.69,46,95,9.28,5.26,-0.76
Bundibugyo,63.61,71,60,2.68,0.74,30.04
Xining,28.35,92,100,6.42,36.62,101.77
Kimberley,86,37,75,3.36,-28.73,24.76
Jiazi,62.37,68,7,5.17,22.88,116.07
Batemans Bay,61,89,72,1.99,-35.72,150.18
Saquena,89.55,58,100,2.51,-4.67,-73.52
Zyryanka,-18.45,83,0,5.97,65.75,150.85
Ambilobe,80.37,87,100,11.27,-13.2,49.05
Kanye,87.91,18,0,9.08,-24.97,25.33
Kungurtug,21.69,77,100,4.05,50.6,97.52
Tuscaloosa,66.2,82,90,8.05,33.21,-87.57
Juneau,28.99,92,20,4.03,58.3,-134.42
Talcahuano,60.8,63,0,3.36,-36.72,-73.12
Pacifica,50,66,75,10.29,37.61,-122.49
Cartagena,82.4,74,0,2.24,10.4,-75.51
Bilma,86.85,6,0,2.75,18.69,12.92
Saint-Joseph,80.6,74,100,20.8,-21.37,55.62
Gao,99.45,6,0,5.06,16.64,1.64
Al Bardīyah,64.17,68,0,6.49,31.76,25.09
Ust-Maya,-9.81,96,100,5.14,60.42,134.53
Mandurah,72,94,75,5.82,-32.55,115.7
Rūdbār,76.59,22,78,5.48,30.15,62.6
Tsumeb,86.31,38,83,6.44,-19.23,17.72
Kostino,21.69,91,93,4.05,58.91,53.27
Itarema,84.69,76,55,6.8,-2.92,-39.92
Kenai,8.01,76,1,4.32,60.55,-151.26
Faya,68,63,40,11.41,18.39,42.45
Forchheim,57,34,3,13.87,49.72,11.06
Bosaso,78.8,83,20,14.99,11.28,49.18
Los Llanos de Aridane,68,60,75,13.87,28.66,-17.92
Morón,70,77,100,6.93,-34.65,-58.62
Dom Pedrito,80.71,63,100,9.89,-30.98,-54.67
Mindelo,78.8,54,20,29.97,16.89,-24.98
